Date,Price
1/1/2020,124
1/2/2020,99
1/3/2020,116
1/4/2020,121
1/5/2020,113
1/6/2020,119
1/7/2020,105
1/8/2020,105
1/9/2020,124
1/10/2020,103
1/11/2020,100
1/12/2020,115
1/13/2020,120
1/14/2020,117
1/15/2020,125
1/16/2020,105
1/17/2020,109
1/18/2020,114
1/19/2020,100
1/20/2020,102
1/21/2020,125
1/22/2020,122
1/23/2020,106
1/24/2020,115
1/25/2020,113
1/26/2020,120
1/27/2020,119
1/28/2020,113
1/29/2020,118
1/30/2020,98
1/31/2020,122
2/1/2020,100
2/2/2020,102
2/3/2020,107
2/4/2020,101
2/5/2020,102
2/6/2020,123
2/7/2020,108
2/8/2020,108
2/9/2020,108
2/10/2020,118
2/11/2020,108
2/12/2020,102
2/13/2020,102
2/14/2020,122
2/15/2020,104
2/16/2020,124
2/17/2020,100
2/18/2020,112
2/19/2020,121
2/20/2020,113
2/21/2020,104
2/22/2020,117
2/23/2020,111
2/24/2020,105
2/25/2020,109
2/26/2020,100
2/27/2020,118
2/28/2020,107
2/29/2020,110
3/1/2020,113
3/2/2020,109
3/3/2020,107
3/4/2020,105
3/5/2020,99
3/6/2020,116
3/7/2020,108
3/8/2020,116
3/9/2020,118
3/10/2020,124
3/11/2020,109
3/12/2020,105
3/13/2020,117
3/14/2020,113
3/15/2020,103
3/16/2020,118
3/17/2020,98
3/18/2020,104
3/19/2020,112
3/20/2020,99
3/21/2020,124
3/22/2020,118
3/23/2020,112
3/24/2020,114
3/25/2020,101
3/26/2020,119
3/27/2020,122
3/28/2020,123
3/29/2020,113
3/30/2020,125
3/31/2020,116
4/1/2020,117
4/2/2020,106
4/3/2020,105
4/4/2020,125
4/5/2020,114
4/6/2020,123
4/7/2020,111
4/8/2020,117
4/9/2020,120
4/10/2020,121
4/11/2020,120
4/12/2020,116
4/13/2020,115
4/14/2020,115
4/15/2020,115
4/16/2020,123
4/17/2020,98
4/18/2020,102
4/19/2020,103
4/20/2020,113
4/21/2020,109
4/22/2020,98
4/23/2020,105
4/24/2020,125
4/25/2020,108
4/26/2020,107
4/27/2020,115
4/28/2020,105
4/29/2020,103
4/30/2020,109
5/1/2020,117
5/2/2020,110
5/3/2020,111
5/4/2020,108
5/5/2020,104
5/6/2020,120
5/7/2020,102
5/8/2020,112
5/9/2020,123
5/10/2020,117
5/11/2020,120
5/12/2020,114
5/13/2020,99
5/14/2020,101
5/15/2020,111
5/16/2020,125
5/17/2020,111
5/18/2020,111
5/19/2020,125
5/20/2020,123
5/21/2020,117
5/22/2020,118
5/23/2020,109
5/24/2020,110
5/25/2020,109
5/26/2020,115
5/27/2020,107
5/28/2020,125
5/29/2020,113
5/30/2020,121
5/31/2020,105
6/1/2020,112
6/2/2020,105
6/3/2020,109
6/4/2020,99
6/5/2020,120
6/6/2020,103
6/7/2020,98
6/8/2020,102
6/9/2020,107
6/10/2020,113
6/11/2020,101
6/12/2020,102
6/13/2020,122
6/14/2020,111
6/15/2020,108
6/16/2020,123
6/17/2020,105
6/18/2020,108
6/19/2020,118
6/20/2020,115
6/21/2020,118
6/22/2020,119
6/23/2020,114
6/24/2020,113
