Date,Price
2/24/2021,63
2/25/2021,71
2/26/2021,77
2/27/2021,52
2/28/2021,75
3/1/2021,55
3/2/2021,62
3/3/2021,75
3/4/2021,65
3/5/2021,73
3/6/2021,58
3/7/2021,53
3/8/2021,75
3/9/2021,67
3/10/2021,75
3/11/2021,71
3/12/2021,78
3/13/2021,69
3/14/2021,56
3/15/2021,70
3/16/2021,53
3/17/2021,63
3/18/2021,80
3/19/2021,80
3/20/2021,62
3/21/2021,77
3/22/2021,64
3/23/2021,61
3/24/2021,69
3/25/2021,65
3/26/2021,52
3/27/2021,60
3/28/2021,74
3/29/2021,55
3/30/2021,78
3/31/2021,75
4/1/2021,59
4/2/2021,76
4/3/2021,66
4/4/2021,54
4/5/2021,66
4/6/2021,79
4/7/2021,57
4/8/2021,71
4/9/2021,68
4/10/2021,72
4/11/2021,58
4/12/2021,72
4/13/2021,69
