Date,Price
03/01/2017,1
03/02/2017,1
03/03/2017,1
03/04/2017,1
03/05/2017,1
03/06/2017,1
03/07/2017,1
03/08/2017,1
03/09/2017,1
03/10/2017,1
03/11/2017,1
03/12/2017,1
03/13/2017,1
03/14/2017,1
03/15/2017,1
03/16/2017,1
03/17/2017,1
03/18/2017,1
03/19/2017,1
03/20/2017,1
03/21/2017,1
03/22/2017,1
03/23/2017,1
03/24/2017,1
03/25/2017,1
03/26/2017,1
03/27/2017,1
03/28/2017,1
03/29/2017,1
03/30/2017,1
03/31/2017,1
04/01/2017,5
04/02/2017,5
04/03/2017,5
04/04/2017,5
04/05/2017,5
04/06/2017,5
04/07/2017,5
04/08/2017,5
04/09/2017,5
04/10/2017,5
04/11/2017,5
04/12/2017,5
04/13/2017,5
04/14/2017,5
04/15/2017,5
04/16/2017,5
04/17/2017,5
04/18/2017,5
04/19/2017,5
04/20/2017,5
04/21/2017,5
04/22/2017,5
04/23/2017,5
04/24/2017,5
04/25/2017,5
04/26/2017,5
04/27/2017,5
04/28/2017,5
04/29/2017,5
04/30/2017,5
06/01/2017,2
06/02/2017,2
06/03/2017,2
06/04/2017,2
06/05/2017,2
06/06/2017,2
06/07/2017,2
06/08/2017,2
06/09/2017,2
06/10/2017,2
06/11/2017,2
06/12/2017,2
06/13/2017,2
06/14/2017,2
06/15/2017,2
06/16/2017,2
06/17/2017,2
06/18/2017,2
06/19/2017,2
06/20/2017,2
06/21/2017,2
06/22/2017,2
06/23/2017,2
06/24/2017,2
06/25/2017,2
06/26/2017,2
06/27/2017,2
06/28/2017,2
06/29/2017,2
06/30/2017,2
08/01/2017,"11,236"
08/02/2017,"11,236"
08/03/2017,"11,236"
08/04/2017,"11,236"
08/05/2017,"11,236"
08/06/2017,"11,236"
08/07/2017,"11,236"
08/08/2017,"11,236"
08/09/2017,"11,236"
08/10/2017,"11,236"
08/11/2017,"11,236"
08/12/2017,"11,236"
08/13/2017,"11,236"
08/14/2017,"11,236"
08/15/2017,"11,236"
08/16/2017,"11,236"
08/17/2017,"11,236"
08/18/2017,"11,236"
08/19/2017,"11,236"
08/20/2017,"11,236"
08/21/2017,"11,236"
08/22/2017,"11,236"
08/23/2017,"11,236"
08/24/2017,"11,236"
08/25/2017,"11,236"
08/26/2017,"11,236"
08/27/2017,"11,236"
08/28/2017,"11,236"
08/29/2017,"11,236"
08/30/2017,"11,236"
08/31/2017,"11,236"
10/01/2017,"112,300"
10/02/2017,"112,300"
10/03/2017,"112,300"
10/04/2017,"112,300"
10/05/2017,"112,300"
10/06/2017,"112,300"
10/07/2017,"112,300"
10/08/2017,"112,300"
10/09/2017,"112,300"
10/10/2017,"112,300"
10/11/2017,"112,300"
10/12/2017,"112,300"
10/13/2017,"112,300"
10/14/2017,"112,300"
10/15/2017,"112,300"
10/16/2017,"112,300"
10/17/2017,"112,300"
10/18/2017,"112,300"
10/19/2017,"112,300"
10/20/2017,"112,300"
10/21/2017,"112,300"
10/22/2017,"112,300"
10/23/2017,"112,300"
10/24/2017,"112,300"
10/25/2017,"112,300"
10/26/2017,"112,300"
10/27/2017,"112,300"
10/28/2017,"112,300"
10/29/2017,"112,300"
10/30/2017,"112,300"
10/31/2017,"112,300"
11/01/2017,"61,935"
11/02/2017,"61,935"
11/03/2017,"61,935"
11/04/2017,"61,935"
11/05/2017,"61,935"
11/06/2017,"61,935"
11/07/2017,"61,935"
11/08/2017,"61,935"
11/09/2017,"61,935"
11/10/2017,"61,935"
11/11/2017,"61,935"
11/12/2017,"61,935"
11/13/2017,"61,935"
11/14/2017,"61,935"
11/15/2017,"61,935"
11/16/2017,"61,935"
11/17/2017,"61,935"
11/18/2017,"61,935"
11/19/2017,"61,935"
11/20/2017,"61,935"
11/21/2017,"61,935"
11/22/2017,"61,935"
11/23/2017,"61,935"
11/24/2017,"61,935"
11/25/2017,"61,935"
11/26/2017,"61,935"
11/27/2017,"61,935"
11/28/2017,"61,935"
11/29/2017,"61,935"
11/30/2017,"61,935"
12/01/2017,"59,440"
12/02/2017,"59,440"
12/03/2017,"59,440"
12/04/2017,"59,440"
12/05/2017,"59,440"
12/06/2017,"59,440"
12/07/2017,"59,440"
12/08/2017,"59,440"
12/09/2017,"59,440"
12/10/2017,"59,440"
12/11/2017,"59,440"
12/12/2017,"59,440"
12/13/2017,"59,440"
12/14/2017,"59,440"
12/15/2017,"59,440"
12/16/2017,"59,440"
12/17/2017,"59,440"
12/18/2017,"59,440"
12/19/2017,"59,440"
12/20/2017,"59,440"
12/21/2017,"59,440"
12/22/2017,"59,440"
12/23/2017,"59,440"
12/24/2017,"59,440"
12/25/2017,"59,440"
12/26/2017,"59,440"
12/27/2017,"59,440"
12/28/2017,"59,440"
12/29/2017,"59,440"
12/30/2017,"59,440"
12/31/2017,"59,440"
01/01/2018,"162,535"
01/02/2018,"162,535"
01/03/2018,"162,535"
01/04/2018,"162,535"
01/05/2018,"162,535"
