Date,Price
2/24/2021,64
2/25/2021,80
2/26/2021,58
2/27/2021,73
2/28/2021,63
3/1/2021,61
3/2/2021,58
3/3/2021,61
3/4/2021,70
3/5/2021,76
3/6/2021,73
3/7/2021,74
3/8/2021,56
3/9/2021,73
3/10/2021,65
3/11/2021,68
3/12/2021,58
3/13/2021,57
3/14/2021,77
3/15/2021,68
3/16/2021,55
3/17/2021,68
3/18/2021,80
3/19/2021,61
3/20/2021,61
3/21/2021,64
3/22/2021,66
3/23/2021,61
3/24/2021,50
3/25/2021,79
3/26/2021,51
3/27/2021,70
3/28/2021,55
3/29/2021,59
3/30/2021,61
3/31/2021,66
4/1/2021,66
4/2/2021,50
4/3/2021,75
4/4/2021,69
4/5/2021,66
4/6/2021,64
4/7/2021,61
4/8/2021,71
4/9/2021,77
4/10/2021,78
4/11/2021,54
4/12/2021,56
4/13/2021,76
4/14/2021,78
4/15/2021,73
4/16/2021,51
4/17/2021,73
4/18/2021,70
4/19/2021,76
4/20/2021,77
4/21/2021,51
4/22/2021,59
4/23/2021,78
4/24/2021,76
4/25/2021,68
4/26/2021,58
4/27/2021,63
4/28/2021,62
4/29/2021,61
4/30/2021,58
5/1/2021,52
5/2/2021,76
5/3/2021,73
5/4/2021,53
5/5/2021,65
5/6/2021,66
5/7/2021,77
5/8/2021,51
5/9/2021,57
5/10/2021,65
5/11/2021,79
5/12/2021,54
5/13/2021,52
5/14/2021,76
5/15/2021,68
5/16/2021,56
5/17/2021,75
5/18/2021,59
5/19/2021,52
5/20/2021,69
5/21/2021,51
5/22/2021,55
5/23/2021,57
5/24/2021,61
5/25/2021,70
5/26/2021,66
5/27/2021,65
5/28/2021,73
5/29/2021,52
5/30/2021,64
5/31/2021,55
6/1/2021,59
6/2/2021,74
6/3/2021,54
6/4/2021,54
6/5/2021,69
6/6/2021,64
6/7/2021,61
6/8/2021,57
6/9/2021,71
6/10/2021,51
6/11/2021,51
6/12/2021,73
6/13/2021,77
6/14/2021,50
6/15/2021,73
6/16/2021,70
6/17/2021,63
6/18/2021,53
6/19/2021,77
6/20/2021,65
6/21/2021,57
6/22/2021,79
6/23/2021,73
6/24/2021,55
6/25/2021,56
6/26/2021,73
6/27/2021,78
6/28/2021,77
6/29/2021,64
6/30/2021,78
7/1/2021,50
7/2/2021,61
7/3/2021,53
7/4/2021,51
7/5/2021,51
7/6/2021,52
7/7/2021,55
7/8/2021,52
7/9/2021,67
7/10/2021,62
7/11/2021,61
7/12/2021,75
7/13/2021,75
7/14/2021,65
7/15/2021,78
7/16/2021,78
7/17/2021,74
7/18/2021,66
7/19/2021,54
7/20/2021,79
7/21/2021,76
7/22/2021,70
7/23/2021,69
7/24/2021,62
7/25/2021,69
7/26/2021,77
7/27/2021,67
7/28/2021,72
7/29/2021,61
7/30/2021,68
7/31/2021,72
8/1/2021,74
8/2/2021,56
8/3/2021,69
8/4/2021,55
8/5/2021,78
8/6/2021,72
8/7/2021,59
8/8/2021,70
8/9/2021,69
8/10/2021,65
8/11/2021,58
8/12/2021,54
8/13/2021,79
8/14/2021,69
