Date,Price
1/1/2017,120
1/2/2017,110
1/3/2017,111
1/4/2017,122
1/5/2017,119
1/6/2017,124
1/7/2017,116
1/8/2017,113
1/9/2017,112
1/10/2017,120
1/11/2017,111
1/12/2017,105
1/13/2017,104
1/14/2017,121
1/15/2017,102
1/16/2017,107
1/17/2017,101
1/18/2017,99
1/19/2017,118
1/20/2017,120
1/21/2017,107
1/22/2017,98
1/23/2017,108
1/24/2017,114
1/25/2017,120
1/26/2017,125
1/27/2017,110
1/28/2017,104
1/29/2017,124
1/30/2017,115
1/31/2017,100
2/1/2017,104
2/2/2017,102
2/3/2017,105
2/4/2017,112
2/5/2017,109
2/6/2017,103
2/7/2017,124
2/8/2017,123
2/9/2017,105
2/10/2017,106
2/11/2017,111
2/12/2017,107
2/13/2017,122
2/14/2017,110
2/15/2017,114
2/16/2017,118
2/17/2017,113
2/18/2017,123
2/19/2017,111
2/20/2017,117
2/21/2017,103
2/22/2017,116
2/23/2017,123
2/24/2017,103
2/25/2017,101
2/26/2017,119
2/27/2017,109
2/28/2017,112
3/1/2017,120
3/2/2017,105
3/3/2017,110
3/4/2017,120
3/5/2017,107
3/6/2017,123
3/7/2017,123
3/8/2017,106
3/9/2017,109
3/10/2017,114
3/11/2017,116
3/12/2017,98
3/13/2017,108
3/14/2017,115
3/15/2017,99
3/16/2017,124
3/17/2017,116
3/18/2017,117
3/19/2017,114
3/20/2017,105
3/21/2017,102
3/22/2017,100
3/23/2017,104
3/24/2017,121
3/25/2017,113
3/26/2017,114
3/27/2017,122
3/28/2017,113
3/29/2017,114
3/30/2017,114
3/31/2017,98
4/1/2017,106
4/2/2017,101
4/3/2017,107
4/4/2017,125
4/5/2017,106
4/6/2017,101
4/7/2017,105
4/8/2017,108
4/9/2017,99
4/10/2017,109
4/11/2017,118
4/12/2017,121
4/13/2017,120
4/14/2017,98
4/15/2017,113
4/16/2017,119
4/17/2017,111
4/18/2017,120
4/19/2017,111
4/20/2017,106
4/21/2017,104
4/22/2017,119
4/23/2017,116
4/24/2017,105
4/25/2017,100
4/26/2017,125
4/27/2017,113
4/28/2017,98
4/29/2017,122
4/30/2017,114
5/1/2017,100
5/2/2017,100
5/3/2017,104
5/4/2017,112
5/5/2017,108
5/6/2017,124
5/7/2017,116
5/8/2017,122
5/9/2017,121
5/10/2017,99
5/11/2017,99
5/12/2017,108
5/13/2017,110
5/14/2017,98
5/15/2017,124
5/16/2017,120
5/17/2017,124
5/18/2017,119
5/19/2017,107
5/20/2017,114
5/21/2017,116
5/22/2017,107
5/23/2017,106
5/24/2017,119
5/25/2017,110
5/26/2017,124
5/27/2017,125
5/28/2017,100
5/29/2017,108
5/30/2017,102
5/31/2017,106
6/1/2017,116
6/2/2017,117
6/3/2017,100
6/4/2017,112
6/5/2017,108
6/6/2017,105
6/7/2017,108
6/8/2017,104
6/9/2017,116
6/10/2017,103
6/11/2017,120
6/12/2017,125
6/13/2017,106
6/14/2017,123
6/15/2017,104
6/16/2017,98
6/17/2017,119
6/18/2017,115
6/19/2017,106
6/20/2017,99
6/21/2017,104
6/22/2017,100
6/23/2017,98
6/24/2017,105
6/25/2017,112
6/26/2017,106
6/27/2017,105
6/28/2017,119
6/29/2017,98
6/30/2017,121
7/1/2017,98
7/2/2017,115
7/3/2017,113
7/4/2017,123
7/5/2017,104
7/6/2017,116
7/7/2017,122
7/8/2017,119
7/9/2017,100
7/10/2017,113
7/11/2017,123
7/12/2017,122
7/13/2017,102
7/14/2017,117
7/15/2017,124
7/16/2017,104
7/17/2017,116
7/18/2017,116
7/19/2017,112
7/20/2017,114
7/21/2017,123
7/22/2017,98
7/23/2017,103
7/24/2017,102
7/25/2017,106
7/26/2017,120
7/27/2017,101
7/28/2017,112
7/29/2017,107
7/30/2017,108
7/31/2017,110
8/1/2017,116
8/2/2017,110
8/3/2017,108
8/4/2017,98
8/5/2017,101
8/6/2017,113
8/7/2017,119
8/8/2017,100
8/9/2017,125
8/10/2017,102
8/11/2017,119
8/12/2017,118
8/13/2017,116
8/14/2017,116
8/15/2017,116
8/16/2017,125
8/17/2017,99
8/18/2017,101
8/19/2017,121
8/20/2017,103
8/21/2017,114
8/22/2017,106
8/23/2017,120
8/24/2017,106
8/25/2017,121
8/26/2017,114
8/27/2017,105
8/28/2017,106
8/29/2017,122
8/30/2017,111
8/31/2017,110
9/1/2017,121
9/2/2017,98
9/3/2017,119
9/4/2017,98
9/5/2017,107
9/6/2017,109
9/7/2017,100
9/8/2017,102
9/9/2017,98
9/10/2017,105
9/11/2017,121
9/12/2017,120
9/13/2017,119
9/14/2017,102
9/15/2017,103
9/16/2017,119
9/17/2017,112
9/18/2017,110
9/19/2017,99
9/20/2017,114
9/21/2017,115
9/22/2017,110
9/23/2017,115
9/24/2017,117
9/25/2017,121
9/26/2017,105
9/27/2017,111
9/28/2017,123
9/29/2017,118
9/30/2017,102
10/1/2017,101
10/2/2017,124
10/3/2017,98
10/4/2017,125
10/5/2017,112
10/6/2017,101
10/7/2017,107
10/8/2017,107
10/9/2017,113
10/10/2017,111
10/11/2017,98
10/12/2017,98
10/13/2017,121
10/14/2017,112
10/15/2017,104
10/16/2017,108
10/17/2017,103
10/18/2017,124
10/19/2017,115
10/20/2017,123
10/21/2017,121
10/22/2017,111
10/23/2017,103
10/24/2017,118
10/25/2017,101
10/26/2017,123
10/27/2017,121
10/28/2017,100
10/29/2017,115
10/30/2017,106
10/31/2017,98
11/1/2017,123
11/2/2017,124
11/3/2017,109
11/4/2017,105
11/5/2017,105
11/6/2017,120
11/7/2017,104
11/8/2017,119
11/9/2017,113
11/10/2017,114
11/11/2017,103
11/12/2017,122
11/13/2017,118
11/14/2017,107
11/15/2017,117
11/16/2017,107
11/17/2017,109
11/18/2017,125
11/19/2017,124
11/20/2017,108
11/21/2017,123
11/22/2017,103
11/23/2017,114
11/24/2017,98
11/25/2017,120
11/26/2017,107
11/27/2017,112
11/28/2017,108
11/29/2017,121
11/30/2017,98
12/1/2017,100
12/2/2017,116
12/3/2017,105
12/4/2017,118
12/5/2017,123
12/6/2017,105
12/7/2017,109
12/8/2017,106
12/9/2017,98
12/10/2017,115
12/11/2017,106
12/12/2017,107
12/13/2017,109
12/14/2017,122
12/15/2017,98
12/16/2017,111
12/17/2017,120
12/18/2017,116
12/19/2017,116
12/20/2017,100
12/21/2017,125
12/22/2017,120
12/23/2017,106
12/24/2017,108
12/25/2017,114
12/26/2017,99
12/27/2017,123
12/28/2017,103
12/29/2017,109
12/30/2017,119
12/31/2017,103
1/1/2018,100
1/2/2018,125
1/3/2018,106
1/4/2018,121
1/5/2018,98
1/6/2018,119
1/7/2018,115
1/8/2018,112
1/9/2018,115
1/10/2018,99
1/11/2018,116
1/12/2018,100
1/13/2018,121
1/14/2018,121
1/15/2018,125
1/16/2018,125
1/17/2018,121
1/18/2018,113
1/19/2018,113
1/20/2018,102
1/21/2018,123
1/22/2018,107
1/23/2018,101
1/24/2018,118
1/25/2018,109
1/26/2018,120
1/27/2018,121
1/28/2018,125
1/29/2018,101
1/30/2018,116
1/31/2018,107
2/1/2018,113
2/2/2018,121
2/3/2018,106
2/4/2018,115
2/5/2018,123
2/6/2018,119
2/7/2018,107
2/8/2018,98
2/9/2018,111
2/10/2018,118
2/11/2018,122
2/12/2018,116
2/13/2018,123
2/14/2018,125
2/15/2018,120
2/16/2018,109
2/17/2018,124
2/18/2018,110
2/19/2018,120
2/20/2018,122
2/21/2018,109
2/22/2018,108
2/23/2018,124
2/24/2018,99
2/25/2018,122
2/26/2018,118
2/27/2018,98
2/28/2018,104
3/1/2018,113
3/2/2018,122
3/3/2018,98
3/4/2018,122
3/5/2018,102
3/6/2018,121
3/7/2018,118
3/8/2018,112
3/9/2018,99
3/10/2018,102
3/11/2018,99
3/12/2018,104
3/13/2018,102
3/14/2018,116
3/15/2018,108
3/16/2018,118
3/17/2018,125
3/18/2018,107
3/19/2018,110
3/20/2018,119
3/21/2018,122
3/22/2018,107
3/23/2018,109
3/24/2018,101
3/25/2018,99
3/26/2018,118
3/27/2018,101
3/28/2018,112
3/29/2018,120
3/30/2018,113
3/31/2018,104
4/1/2018,99
4/2/2018,99
4/3/2018,113
4/4/2018,102
4/5/2018,114
4/6/2018,116
4/7/2018,113
4/8/2018,112
4/9/2018,113
4/10/2018,109
4/11/2018,104
4/12/2018,98
4/13/2018,105
4/14/2018,123
4/15/2018,109
4/16/2018,125
4/17/2018,121
4/18/2018,116
4/19/2018,117
4/20/2018,104
4/21/2018,99
4/22/2018,125
4/23/2018,99
4/24/2018,106
4/25/2018,99
4/26/2018,106
4/27/2018,108
4/28/2018,117
4/29/2018,120
4/30/2018,103
5/1/2018,103
5/2/2018,117
5/3/2018,117
5/4/2018,111
5/5/2018,99
5/6/2018,110
5/7/2018,104
5/8/2018,105
5/9/2018,123
5/10/2018,120
5/11/2018,106
5/12/2018,110
5/13/2018,116
5/14/2018,104
5/15/2018,117
5/16/2018,125
5/17/2018,121
5/18/2018,108
5/19/2018,101
5/20/2018,102
5/21/2018,106
5/22/2018,110
5/23/2018,125
5/24/2018,105
5/25/2018,107
5/26/2018,116
5/27/2018,112
5/28/2018,99
5/29/2018,103
5/30/2018,125
5/31/2018,104
6/1/2018,115
6/2/2018,117
6/3/2018,107
6/4/2018,121
6/5/2018,101
6/6/2018,99
6/7/2018,111
6/8/2018,117
6/9/2018,124
6/10/2018,103
6/11/2018,104
6/12/2018,115
6/13/2018,106
6/14/2018,110
6/15/2018,121
6/16/2018,105
6/17/2018,124
6/18/2018,111
6/19/2018,119
6/20/2018,110
6/21/2018,106
6/22/2018,123
6/23/2018,99
6/24/2018,106
6/25/2018,117
6/26/2018,124
6/27/2018,116
6/28/2018,104
6/29/2018,100
6/30/2018,108
7/1/2018,112
7/2/2018,121
7/3/2018,118
7/4/2018,120
7/5/2018,112
7/6/2018,125
7/7/2018,116
7/8/2018,102
7/9/2018,121
7/10/2018,104
7/11/2018,115
7/12/2018,104
7/13/2018,118
7/14/2018,112
7/15/2018,112
7/16/2018,121
7/17/2018,119
7/18/2018,119
7/19/2018,123
