Date,Price
1/1/2020,98
1/2/2020,98
1/3/2020,98
1/4/2020,98
1/5/2020,98
1/6/2020,98
1/7/2020,98
1/8/2020,98
1/9/2020,98
1/10/2020,98
1/11/2020,98
1/12/2020,98
1/13/2020,98
1/14/2020,98
1/15/2020,98
1/16/2020,98
1/17/2020,98
1/18/2020,98
1/19/2020,98
1/20/2020,98
1/21/2020,98
1/22/2020,98
1/23/2020,98
1/24/2020,98
1/25/2020,98
1/26/2020,98
1/27/2020,98
1/28/2020,98
1/29/2020,98
1/30/2020,98
1/31/2020,98
2/1/2020,101
2/2/2020,101
2/3/2020,101
2/4/2020,101
2/5/2020,101
2/6/2020,101
2/7/2020,101
2/8/2020,101
2/9/2020,101
2/10/2020,101
2/11/2020,101
2/12/2020,101
2/13/2020,101
2/14/2020,101
2/15/2020,101
2/16/2020,101
2/17/2020,101
2/18/2020,101
2/19/2020,101
2/20/2020,101
2/21/2020,101
2/22/2020,101
2/23/2020,101
2/24/2020,101
2/25/2020,101
2/26/2020,101
2/27/2020,101
2/28/2020,101
2/29/2020,101
3/1/2020,105
3/2/2020,105
3/3/2020,105
3/4/2020,105
3/5/2020,105
3/6/2020,105
3/7/2020,105
3/8/2020,105
3/9/2020,105
3/10/2020,105
3/11/2020,105
3/12/2020,105
3/13/2020,105
3/14/2020,105
3/15/2020,105
3/16/2020,105
3/17/2020,105
3/18/2020,105
3/19/2020,105
3/20/2020,105
3/21/2020,105
3/22/2020,105
3/23/2020,105
3/24/2020,105
3/25/2020,105
3/26/2020,105
3/27/2020,105
3/28/2020,105
3/29/2020,105
3/30/2020,105
3/31/2020,105
4/1/2020,101
4/2/2020,101
4/3/2020,101
4/4/2020,101
4/5/2020,101
4/6/2020,101
4/7/2020,105
4/8/2020,105
4/9/2020,116
4/10/2020,116
4/11/2020,116
4/12/2020,116
4/13/2020,116
4/14/2020,116
4/15/2020,116
4/16/2020,116
4/17/2020,120
4/18/2020,120
4/19/2020,120
4/20/2020,120
4/21/2020,120
4/22/2020,120
4/23/2020,117
4/24/2020,117
4/25/2020,117
4/26/2020,117
4/27/2020,115
4/28/2020,115
4/29/2020,115
4/30/2020,115
5/1/2020,115
5/2/2020,115
5/3/2020,115
5/4/2020,112
5/5/2020,113
5/6/2020,1
5/7/2020,110
5/8/2020,110
5/9/2020,110
5/10/2020,110
5/11/2020,106
5/12/2020,106
5/13/2020,106
5/14/2020,106
5/15/2020,113
5/16/2020,113
5/17/2020,110
5/18/2020,110
5/19/2020,109
5/20/2020,109
5/21/2020,108
5/22/2020,108
5/23/2020,108
5/24/2020,108
5/25/2020,108
5/26/2020,128
5/27/2020,128
5/28/2020,130
5/29/2020,130
5/30/2020,130
5/31/2020,130
6/1/2020,128
6/2/2020,127
6/3/2020,130
6/4/2020,130
6/5/2020,130
6/6/2020,130
6/7/2020,130
6/8/2020,130
6/9/2020,130
6/10/2020,130
6/11/2020,127
6/12/2020,127
6/13/2020,128
6/14/2020,128
6/15/2020,128
6/16/2020,127
6/17/2020,127
6/18/2020,127
6/19/2020,128
6/20/2020,128
6/21/2020,128
6/22/2020,127
6/23/2020,127
6/24/2020,127
6/25/2020,127
6/26/2020,127
6/27/2020,127
6/28/2020,127
6/29/2020,127
6/30/2020,127
7/1/2020,127
7/2/2020,127
7/3/2020,127
7/4/2020,127
7/5/2020,127
7/6/2020,127
7/7/2020,127
7/8/2020,127
7/9/2020,127
7/10/2020,127
7/11/2020,127
7/12/2020,127
7/13/2020,127
7/14/2020,127
7/15/2020,127
7/16/2020,127
7/17/2020,127
7/18/2020,127
7/19/2020,127
7/20/2020,127
7/21/2020,127
7/22/2020,127
7/23/2020,127
7/24/2020,127
7/25/2020,127
7/26/2020,127
7/27/2020,127
7/28/2020,127
7/29/2020,127
7/30/2020,127
7/31/2020,126
8/1/2020,126
8/2/2020,126
8/3/2020,126
8/4/2020,126
8/5/2020,126
8/6/2020,126
8/7/2020,126
8/8/2020,126
8/9/2020,126
8/10/2020,126
8/11/2020,126
8/12/2020,126
8/13/2020,126
8/14/2020,126
8/15/2020,126
8/16/2020,126
8/17/2020,126
8/18/2020,126
8/19/2020,126
8/20/2020,126
8/21/2020,126
8/22/2020,126
8/23/2020,126
8/24/2020,126
8/25/2020,126
8/26/2020,126
8/27/2020,126
8/28/2020,126
8/29/2020,126
8/30/2020,126
8/31/2020,126
9/1/2020,126
9/2/2020,126
9/3/2020,126
9/4/2020,126
