Date,Sales
01/01/2017,1080
01/02/2017,1080
01/03/2017,1080
01/04/2017,1080
01/05/2017,1080
01/06/2017,1080
01/07/2017,1080
01/08/2017,1080
01/09/2017,1080
01/10/2017,1080
01/11/2017,1080
01/12/2017,1080
01/13/2017,1080
01/14/2017,1080
01/15/2017,1080
01/16/2017,1080
01/17/2017,1080
01/18/2017,1080
01/19/2017,1080
01/20/2017,1080
01/21/2017,1080
01/22/2017,1080
01/23/2017,1080
01/24/2017,1080
01/25/2017,1080
01/26/2017,1080
01/27/2017,1080
01/28/2017,1080
01/29/2017,1080
01/30/2017,1080
01/31/2017,1080
02/01/2017,1050
02/02/2017,1050
02/03/2017,1050
02/04/2017,1050
02/05/2017,1050
02/06/2017,1050
02/07/2017,1050
02/08/2017,1050
02/09/2017,1050
02/10/2017,1050
02/11/2017,1050
02/12/2017,1050
02/13/2017,1050
02/14/2017,1050
02/15/2017,1050
02/16/2017,1050
02/17/2017,1050
02/18/2017,1050
02/19/2017,1050
02/20/2017,1050
02/21/2017,1050
02/22/2017,1050
02/23/2017,1050
02/24/2017,1050
02/25/2017,1050
02/26/2017,1050
02/27/2017,1050
02/28/2017,1050
03/01/2017,1800
03/02/2017,1800
03/03/2017,1800
03/04/2017,1800
03/05/2017,1800
03/06/2017,1800
03/07/2017,1800
03/08/2017,1800
03/09/2017,1800
03/10/2017,1800
03/11/2017,1800
03/12/2017,1800
03/13/2017,1800
03/14/2017,1800
03/15/2017,1800
03/16/2017,1800
03/17/2017,1800
03/18/2017,1800
03/19/2017,1800
03/20/2017,1800
03/21/2017,1800
03/22/2017,1800
03/23/2017,1800
03/24/2017,1800
03/25/2017,1800
03/26/2017,1800
03/27/2017,1800
03/28/2017,1800
03/29/2017,1800
03/30/2017,1800
03/31/2017,1800
04/01/2017,2300
04/02/2017,2300
04/03/2017,2300
04/04/2017,2300
04/05/2017,2300
04/06/2017,2300
04/07/2017,2300
04/08/2017,2300
04/09/2017,2300
04/10/2017,2300
04/11/2017,2300
04/12/2017,2300
04/13/2017,2300
04/14/2017,2300
04/15/2017,2300
04/16/2017,2300
04/17/2017,2300
04/18/2017,2300
04/19/2017,2300
04/20/2017,2300
04/21/2017,2300
04/22/2017,2300
04/23/2017,2300
04/24/2017,2300
04/25/2017,2300
04/26/2017,2300
04/27/2017,2300
04/28/2017,2300
04/29/2017,2300
04/30/2017,2300
05/01/2017,1400
05/02/2017,1400
05/03/2017,1400
05/04/2017,1400
05/05/2017,1400
05/06/2017,1400
05/07/2017,1400
05/08/2017,1400
05/09/2017,1400
05/10/2017,1400
05/11/2017,1400
05/12/2017,1400
05/13/2017,1400
05/14/2017,1400
05/15/2017,1400
05/16/2017,1400
05/17/2017,1400
05/18/2017,1400
05/19/2017,1400
05/20/2017,1400
05/21/2017,1400
05/22/2017,1400
05/23/2017,1400
05/24/2017,1400
05/25/2017,1400
05/26/2017,1400
05/27/2017,1400
05/28/2017,1400
05/29/2017,1400
05/30/2017,1400
05/31/2017,1400
06/01/2017,1100
06/02/2017,1100
06/03/2017,1100
06/04/2017,1100
06/05/2017,1100
06/06/2017,1100
06/07/2017,1100
06/08/2017,1100
06/09/2017,1100
06/10/2017,1100
06/11/2017,1100
06/12/2017,1100
06/13/2017,1100
06/14/2017,1100
06/15/2017,1100
06/16/2017,1100
06/17/2017,1100
06/18/2017,1100
06/19/2017,1100
06/20/2017,1100
06/21/2017,1100
06/22/2017,1100
06/23/2017,1100
06/24/2017,1100
06/25/2017,1100
06/26/2017,1100
06/27/2017,1100
06/28/2017,1100
06/29/2017,1100
06/30/2017,1100
07/01/2017,1050
07/02/2017,1050
07/03/2017,1050
07/04/2017,1050
07/05/2017,1050
07/06/2017,1050
07/07/2017,1050
07/08/2017,1050
07/09/2017,1050
07/10/2017,1050
07/11/2017,1050
07/12/2017,1050
07/13/2017,1050
07/14/2017,1050
07/15/2017,1050
07/16/2017,1050
07/17/2017,1050
07/18/2017,1050
07/19/2017,1050
07/20/2017,1050
07/21/2017,1050
07/22/2017,1050
07/23/2017,1050
07/24/2017,1050
07/25/2017,1050
07/26/2017,1050
07/27/2017,1050
07/28/2017,1050
07/29/2017,1050
07/30/2017,1050
07/31/2017,1050
08/01/2017,1120
08/02/2017,1120
08/03/2017,1120
08/04/2017,1120
08/05/2017,1120
08/06/2017,1120
08/07/2017,1120
08/08/2017,1120
08/09/2017,1120
08/10/2017,1120
08/11/2017,1120
08/12/2017,1120
08/13/2017,1120
08/14/2017,1120
08/15/2017,1120
08/16/2017,1120
