Date,Sales
1/1/2017,276
1/2/2017,276
1/3/2017,276
1/4/2017,276
1/5/2017,276
1/6/2017,276
1/7/2017,276
1/8/2017,276
1/9/2017,276
1/10/2017,276
1/11/2017,276
1/12/2017,276
1/13/2017,276
1/14/2017,276
1/15/2017,276
1/16/2017,276
1/17/2017,276
1/18/2017,276
1/19/2017,276
1/20/2017,276
1/21/2017,276
1/22/2017,276
1/23/2017,276
1/24/2017,276
1/25/2017,276
1/26/2017,276
1/27/2017,276
1/28/2017,276
1/29/2017,276
1/30/2017,276
1/31/2017,276
2/1/2017,280
2/2/2017,280
2/3/2017,280
2/4/2017,280
2/5/2017,280
2/6/2017,280
2/7/2017,280
2/8/2017,280
2/9/2017,280
2/10/2017,280
2/11/2017,280
2/12/2017,280
2/13/2017,280
2/14/2017,280
2/15/2017,280
2/16/2017,280
2/17/2017,280
2/18/2017,280
2/19/2017,280
2/20/2017,280
2/21/2017,280
2/22/2017,280
2/23/2017,280
2/24/2017,280
2/25/2017,280
2/26/2017,280
2/27/2017,280
2/28/2017,280
3/1/2017,370
3/2/2017,370
3/3/2017,370
3/4/2017,370
3/5/2017,370
3/6/2017,370
3/7/2017,370
3/8/2017,370
3/9/2017,370
3/10/2017,370
3/11/2017,370
3/12/2017,370
3/13/2017,370
3/14/2017,370
3/15/2017,370
3/16/2017,370
3/17/2017,370
3/18/2017,370
3/19/2017,370
3/20/2017,370
3/21/2017,370
3/22/2017,370
3/23/2017,370
3/24/2017,370
3/25/2017,370
3/26/2017,370
3/27/2017,370
3/28/2017,370
3/29/2017,370
3/30/2017,370
3/31/2017,370
4/1/2017,385
4/2/2017,385
4/3/2017,385
4/4/2017,385
4/5/2017,385
4/6/2017,385
4/7/2017,385
4/8/2017,385
4/9/2017,385
4/10/2017,385
4/11/2017,385
4/12/2017,385
4/13/2017,385
4/14/2017,385
4/15/2017,385
4/16/2017,385
4/17/2017,385
4/18/2017,385
4/19/2017,385
4/20/2017,385
4/21/2017,385
4/22/2017,385
4/23/2017,385
4/24/2017,385
4/25/2017,385
4/26/2017,385
4/27/2017,385
4/28/2017,385
4/29/2017,385
4/30/2017,385
5/1/2017,270
5/2/2017,270
5/3/2017,270
5/4/2017,270
5/5/2017,270
5/6/2017,270
5/7/2017,270
5/8/2017,270
5/9/2017,270
5/10/2017,270
5/11/2017,270
5/12/2017,270
5/13/2017,270
5/14/2017,270
5/15/2017,270
5/16/2017,270
5/17/2017,270
5/18/2017,270
5/19/2017,270
5/20/2017,270
5/21/2017,270
5/22/2017,270
5/23/2017,270
5/24/2017,270
5/25/2017,270
5/26/2017,270
5/27/2017,270
5/28/2017,270
5/29/2017,270
5/30/2017,270
5/31/2017,270
6/1/2017,240
6/2/2017,240
6/3/2017,240
6/4/2017,240
6/5/2017,240
6/6/2017,240
6/7/2017,240
6/8/2017,240
6/9/2017,240
6/10/2017,240
6/11/2017,240
6/12/2017,240
6/13/2017,240
6/14/2017,240
6/15/2017,240
6/16/2017,240
6/17/2017,240
6/18/2017,240
6/19/2017,240
6/20/2017,240
6/21/2017,240
6/22/2017,240
6/23/2017,240
6/24/2017,240
6/25/2017,240
6/26/2017,240
6/27/2017,240
6/28/2017,240
6/29/2017,240
6/30/2017,240
7/1/2017,260
7/2/2017,260
7/3/2017,260
7/4/2017,260
7/5/2017,260
7/6/2017,260
7/7/2017,260
7/8/2017,260
7/9/2017,260
7/10/2017,260
7/11/2017,260
7/12/2017,260
7/13/2017,260
7/14/2017,260
7/15/2017,260
7/16/2017,260
7/17/2017,260
7/18/2017,260
7/19/2017,260
7/20/2017,260
7/21/2017,260
7/22/2017,260
7/23/2017,260
7/24/2017,260
7/25/2017,260
7/26/2017,260
7/27/2017,260
7/28/2017,260
7/29/2017,260
7/30/2017,260
7/31/2017,260
8/1/2017,220
8/2/2017,220
8/3/2017,220
8/4/2017,220
8/5/2017,220
8/6/2017,220
8/7/2017,220
8/8/2017,220
8/9/2017,220
8/10/2017,220
8/11/2017,220
8/12/2017,220
8/13/2017,220
8/14/2017,220
8/15/2017,220
8/16/2017,220
8/17/2017,220
8/18/2017,220
8/19/2017,220
8/20/2017,220
8/21/2017,220
8/22/2017,220
8/23/2017,220
8/24/2017,220
8/25/2017,220
