Date,Sales
01/01/2017,5400
01/02/2017,5400
01/03/2017,5400
01/04/2017,5400
01/05/2017,5400
01/06/2017,5400
01/07/2017,5400
01/08/2017,5400
01/09/2017,5400
01/10/2017,5400
01/11/2017,5400
01/12/2017,5400
01/13/2017,5400
01/14/2017,5400
01/15/2017,5400
01/16/2017,5400
01/17/2017,5400
01/18/2017,5400
01/19/2017,5400
01/20/2017,5400
01/21/2017,5400
01/22/2017,5400
01/23/2017,5400
01/24/2017,5400
01/25/2017,5400
01/26/2017,5400
01/27/2017,5400
01/28/2017,5400
01/29/2017,5400
01/30/2017,5400
01/31/2017,5400
02/01/2017,4800
02/02/2017,4800
02/03/2017,4800
02/04/2017,4800
02/05/2017,4800
02/06/2017,4800
02/07/2017,4800
02/08/2017,4800
02/09/2017,4800
02/10/2017,4800
02/11/2017,4800
02/12/2017,4800
02/13/2017,4800
02/14/2017,4800
02/15/2017,4800
02/16/2017,4800
02/17/2017,4800
02/18/2017,4800
02/19/2017,4800
02/20/2017,4800
02/21/2017,4800
02/22/2017,4800
02/23/2017,4800
02/24/2017,4800
02/25/2017,4800
02/26/2017,4800
02/27/2017,4800
02/28/2017,4800
03/01/2017,6300
03/02/2017,6300
03/03/2017,6300
03/04/2017,6300
03/05/2017,6300
03/06/2017,6300
03/07/2017,6300
03/08/2017,6300
03/09/2017,6300
03/10/2017,6300
03/11/2017,6300
03/12/2017,6300
03/13/2017,6300
03/14/2017,6300
03/15/2017,6300
03/16/2017,6300
03/17/2017,6300
03/18/2017,6300
03/19/2017,6300
03/20/2017,6300
03/21/2017,6300
03/22/2017,6300
03/23/2017,6300
03/24/2017,6300
03/25/2017,6300
03/26/2017,6300
03/27/2017,6300
03/28/2017,6300
03/29/2017,6300
03/30/2017,6300
03/31/2017,6300
04/01/2017,8500
04/02/2017,8500
04/03/2017,8500
04/04/2017,8500
04/05/2017,8500
04/06/2017,8500
04/07/2017,8500
04/08/2017,8500
04/09/2017,8500
04/10/2017,8500
04/11/2017,8500
04/12/2017,8500
04/13/2017,8500
04/14/2017,8500
04/15/2017,8500
04/16/2017,8500
04/17/2017,8500
04/18/2017,8500
