Date,Sales
01/01/2017,200
01/02/2017,200
01/03/2017,200
01/04/2017,200
01/05/2017,200
01/06/2017,200
01/07/2017,200
01/08/2017,200
01/09/2017,200
01/10/2017,200
01/11/2017,200
01/12/2017,200
01/13/2017,200
01/14/2017,200
01/15/2017,200
01/16/2017,200
01/17/2017,200
01/18/2017,200
01/19/2017,200
01/20/2017,200
01/21/2017,200
01/22/2017,200
01/23/2017,200
01/24/2017,200
01/25/2017,200
01/26/2017,200
01/27/2017,200
01/28/2017,200
01/29/2017,200
01/30/2017,200
01/31/2017,200
02/01/2017,220
02/02/2017,220
02/03/2017,220
02/04/2017,220
02/05/2017,220
02/06/2017,220
02/07/2017,220
02/08/2017,220
02/09/2017,220
02/10/2017,220
02/11/2017,220
02/12/2017,220
02/13/2017,220
02/14/2017,220
02/15/2017,220
02/16/2017,220
02/17/2017,220
02/18/2017,220
02/19/2017,220
02/20/2017,220
02/21/2017,220
02/22/2017,220
02/23/2017,220
02/24/2017,220
02/25/2017,220
02/26/2017,220
02/27/2017,220
02/28/2017,220
03/01/2017,525
03/02/2017,525
03/03/2017,525
03/04/2017,525
03/05/2017,525
03/06/2017,525
03/07/2017,525
03/08/2017,525
03/09/2017,525
03/10/2017,525
03/11/2017,525
03/12/2017,525
03/13/2017,525
03/14/2017,525
03/15/2017,525
03/16/2017,525
03/17/2017,525
03/18/2017,525
03/19/2017,525
03/20/2017,525
03/21/2017,525
03/22/2017,525
03/23/2017,525
03/24/2017,525
03/25/2017,525
03/26/2017,525
03/27/2017,525
03/28/2017,525
03/29/2017,525
03/30/2017,525
03/31/2017,525
04/01/2017,1070
04/02/2017,1070
04/03/2017,1070
04/04/2017,1070
04/05/2017,1070
04/06/2017,1070
04/07/2017,1070
04/08/2017,1070
04/09/2017,1070
04/10/2017,1070
04/11/2017,1070
04/12/2017,1070
04/13/2017,1070
04/14/2017,1070
04/15/2017,1070
04/16/2017,1070
04/17/2017,1070
04/18/2017,1070
04/19/2017,1070
04/20/2017,1070
04/21/2017,1070
04/22/2017,1070
04/23/2017,1070
04/24/2017,1070
04/25/2017,1070
04/26/2017,1070
04/27/2017,1070
04/28/2017,1070
04/29/2017,1070
04/30/2017,1070
05/01/2017,820
05/02/2017,820
05/03/2017,820
05/04/2017,820
05/05/2017,820
05/06/2017,820
05/07/2017,820
05/08/2017,820
05/09/2017,820
05/10/2017,820
05/11/2017,820
05/12/2017,820
05/13/2017,820
05/14/2017,820
05/15/2017,820
05/16/2017,820
05/17/2017,820
05/18/2017,820
05/19/2017,820
05/20/2017,820
05/21/2017,820
05/22/2017,820
05/23/2017,820
05/24/2017,820
05/25/2017,820
05/26/2017,820
05/27/2017,820
05/28/2017,820
05/29/2017,820
05/30/2017,820
05/31/2017,820
06/01/2017,710
06/02/2017,710
06/03/2017,710
06/04/2017,710
06/05/2017,710
06/06/2017,710
06/07/2017,710
06/08/2017,710
06/09/2017,710
06/10/2017,710
06/11/2017,710
06/12/2017,710
06/13/2017,710
06/14/2017,710
06/15/2017,710
06/16/2017,710
06/17/2017,710
06/18/2017,710
06/19/2017,710
06/20/2017,710
06/21/2017,710
06/22/2017,710
06/23/2017,710
06/24/2017,710
06/25/2017,710
06/26/2017,710
06/27/2017,710
06/28/2017,710
06/29/2017,710
06/30/2017,710
07/01/2017,530
07/02/2017,530
07/03/2017,530
07/04/2017,530
07/05/2017,530
07/06/2017,530
07/07/2017,530
07/08/2017,530
07/09/2017,530
07/10/2017,530
07/11/2017,530
07/12/2017,530
07/13/2017,530
07/14/2017,530
07/15/2017,530
07/16/2017,530
07/17/2017,530
07/18/2017,530
07/19/2017,530
07/20/2017,530
07/21/2017,530
07/22/2017,530
07/23/2017,530
07/24/2017,530
07/25/2017,530
07/26/2017,530
07/27/2017,530
07/28/2017,530
07/29/2017,530
07/30/2017,530
07/31/2017,530
08/01/2017,505
08/02/2017,505
08/03/2017,505
08/04/2017,505
08/05/2017,505
08/06/2017,505
08/07/2017,505
08/08/2017,505
08/09/2017,505
08/10/2017,505
08/11/2017,505
08/12/2017,505
08/13/2017,505
08/14/2017,505
08/15/2017,505
08/16/2017,505
08/17/2017,505
08/18/2017,505
08/19/2017,505
08/20/2017,505
08/21/2017,505
08/22/2017,505
08/23/2017,505
08/24/2017,505
08/25/2017,505
08/26/2017,505
08/27/2017,505
08/28/2017,505
08/29/2017,505
08/30/2017,505
08/31/2017,505
09/01/2017,480
09/02/2017,480
09/03/2017,480
09/04/2017,480
09/05/2017,480
09/06/2017,480
09/07/2017,480
09/08/2017,480
09/09/2017,480
09/10/2017,480
09/11/2017,480
09/12/2017,480
09/13/2017,480
09/14/2017,480
09/15/2017,480
09/16/2017,480
09/17/2017,480
09/18/2017,480
09/19/2017,480
09/20/2017,480
09/21/2017,480
09/22/2017,480
09/23/2017,480
09/24/2017,480
09/25/2017,480
09/26/2017,480
09/27/2017,480
09/28/2017,480
09/29/2017,480
09/30/2017,480
10/01/2017,460
10/02/2017,460
10/03/2017,460
10/04/2017,460
10/05/2017,460
10/06/2017,460
10/07/2017,460
10/08/2017,460
10/09/2017,460
10/10/2017,460
10/11/2017,460
10/12/2017,460
10/13/2017,460
10/14/2017,460
10/15/2017,460
10/16/2017,460
10/17/2017,460
10/18/2017,460
10/19/2017,460
10/20/2017,460
10/21/2017,460
10/22/2017,460
10/23/2017,460
10/24/2017,460
10/25/2017,460
10/26/2017,460
10/27/2017,460
10/28/2017,460
10/29/2017,460
10/30/2017,460
10/31/2017,460
11/01/2017,520
11/02/2017,520
11/03/2017,520
11/04/2017,520
11/05/2017,520
11/06/2017,520
11/07/2017,520
11/08/2017,520
11/09/2017,520
11/10/2017,520
11/11/2017,520
11/12/2017,520
11/13/2017,520
11/14/2017,520
11/15/2017,520
11/16/2017,520
11/17/2017,520
11/18/2017,520
11/19/2017,520
11/20/2017,520
11/21/2017,520
11/22/2017,520
11/23/2017,520
11/24/2017,520
11/25/2017,520
11/26/2017,520
11/27/2017,520
11/28/2017,520
11/29/2017,520
11/30/2017,520
12/01/2017,560
12/02/2017,560
12/03/2017,560
12/04/2017,560
12/05/2017,560
12/06/2017,560
12/07/2017,560
12/08/2017,560
12/09/2017,560
12/10/2017,560
12/11/2017,560
12/12/2017,560
12/13/2017,560
12/14/2017,560
12/15/2017,560
12/16/2017,560
12/17/2017,560
12/18/2017,560
12/19/2017,560
12/20/2017,560
12/21/2017,560
12/22/2017,560
12/23/2017,560
12/24/2017,560
12/25/2017,560
12/26/2017,560
12/27/2017,560
12/28/2017,560
12/29/2017,560
12/30/2017,560
12/31/2017,560
01/01/2018,470
01/02/2018,470
01/03/2018,470
01/04/2018,470
01/05/2018,470
01/06/2018,470
01/07/2018,470
01/08/2018,470
01/09/2018,470
01/10/2018,470
01/11/2018,470
01/12/2018,470
01/13/2018,470
01/14/2018,470
01/15/2018,470
01/16/2018,470
01/17/2018,470
01/18/2018,470
01/19/2018,470
01/20/2018,470
01/21/2018,470
01/22/2018,470
01/23/2018,470
01/24/2018,470
01/25/2018,470
01/26/2018,470
01/27/2018,470
01/28/2018,470
01/29/2018,470
01/30/2018,470
01/31/2018,470
02/01/2018,320
02/02/2018,320
02/03/2018,320
02/04/2018,320
02/05/2018,320
02/06/2018,320
02/07/2018,320
02/08/2018,320
02/09/2018,320
02/10/2018,320
02/11/2018,320
02/12/2018,320
02/13/2018,320
02/14/2018,320
02/15/2018,320
02/16/2018,320
02/17/2018,320
02/18/2018,320
02/19/2018,320
02/20/2018,320
02/21/2018,320
02/22/2018,320
02/23/2018,320
02/24/2018,320
02/25/2018,320
02/26/2018,320
02/27/2018,320
02/28/2018,320
03/01/2018,1050
03/02/2018,1050
03/03/2018,1050
03/04/2018,1050
03/05/2018,1050
03/06/2018,1050
03/07/2018,1050
03/08/2018,1050
03/09/2018,1050
03/10/2018,1050
03/11/2018,1050
03/12/2018,1050
03/13/2018,1050
03/14/2018,1050
03/15/2018,1050
03/16/2018,1050
03/17/2018,1050
03/18/2018,1050
03/19/2018,1050
03/20/2018,1050
03/21/2018,1050
03/22/2018,1050
03/23/2018,1050
03/24/2018,1050
03/25/2018,1050
03/26/2018,1050
03/27/2018,1050
03/28/2018,1050
03/29/2018,1050
03/30/2018,1050
03/31/2018,1050
04/01/2018,1430
04/02/2018,1430
04/03/2018,1430
04/04/2018,1430
04/05/2018,1430
04/06/2018,1430
04/07/2018,1430
04/08/2018,1430
04/09/2018,1430
04/10/2018,1430
04/11/2018,1430
04/12/2018,1430
